city,name,latitude,longitude,stars,state,address,wifi,restaurantsdelivery,restaurantsgoodforgroups,restaurantspricerange,businessparking,business_id,postal_code,review_count
Langhorne,Metro Diner,40.180187,-74.87527,3.5,PA,2390 E Lincoln Hwy,NA,True,True,2,"{'garage': False, 'street': False, 'validated': None, 'lot': True, 'valet': False}",iEC0VzHM2hQ13wM7c0QwgQ,19047,56
Goleta,Cal Taco,34.4305419,-119.882367,4,CA,"7320 Hollister Ave, Ste 1",u'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",VeFfrEZ4iWaecrQg6Eq4cg,93117,189
Hazelwood,Johnny Rockets,38.7860901654,-90.4157752544,2,MO,5555 St. Louis Mills Blvd,NA,NA,NA,1,NA,Dl1alpHSJE4_iB0MGKRLXw,63042,6
Brookhaven,Freddy's Frozen Custard & Steakburgers,39.879183,-75.396768,3.5,PA,5051 Edgmont Ave,NA,True,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",QZLOM3T6xl7y1Q6zqoqHWg,19015,26
Philadelphia,Whetstone Tavern,39.9408715785,-75.1510468125,4,PA,700 S 5th St,'no',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",46_2e1hnQ4csLrYnhn6bkw,19147,166
Philadelphia,Chick-fil-A,40.08178,-75.0267907,4,PA,9711 Roosevelt Blvd,u'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",TGfPJHImEq6AQL9a1laxlg,19114,80
Metairie,Piccadilly,29.994939,-90.18365,3,LA,"2222 Clearview Pkwy, Ste 107",'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",XRkzSBTroG7kIdI7Z8ic6g,70001,51
Norristown,Olde Black Horse,40.1083808,-75.318943,4,PA,200 Fairfield Rd,'free',NA,NA,1,NA,1tLrjXG-I9hkOoZxlbwDqw,19401,9
St Petersburg,Reno Downtown Joint,27.7717231748,-82.6383055959,4,FL,27 4th St N,NA,True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",1EokZOnCDkjv2VtPtplyHw,33701,10
Fishers,City Barbeque,39.979376,-86.001692,4,IN,9367 Ambleside Dr,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",yN6jZyG1G1FG_HCZQlJZ1g,46038,188
Conshohocken,La Cucina Italian Eatery,40.088398,-75.2926963,4,PA,1642 Butler Pike,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",0sr1EyOc6Td1C-962QW88w,19428,44
Hernando Beach,ZigZag Scallop,28.4977,-82.650015,4,FL,4417 Calienta St,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",SFKjUQ1gmfwm7cJhMCFmkA,34607,214
Newtown,State Street Kitchen,40.2285432,-74.9370146,4.5,PA,24 S State St,u'no',False,False,1,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",IbndcMURguByburM72o3SA,18940,124
Reno,Brew Brothers,39.5295616355,-119.8145651258,3.5,NV,345 N Virginia St,'free',True,True,2,"{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}",diwwt5QBU3-Thig9SVlsOA,89501,592
Chadds Ford,Nudy's Cafe - Chadds Ford,39.8808598,-75.5482765,3.5,PA,240 Painters' Crossing,u'no',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",cm0bhBDPM3bjBefmEXa3BQ,19317,63
Woodstown,Creekside Inn,39.65126,-75.31747,3.5,NJ,197 E Ave,u'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",MObScX791gFEwtkoFA9GQg,08098,20
Boise,Brixx Craft House,43.671633,-116.283591,4,ID,"7700 W State St, Ste 100",NA,True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",TJe1ZGe-X0-GjOQd00kKxA,83714,115
Indianapolis,Granite City Food & Brewery,39.7664200969,-86.1592453161,3.5,IN,"49 W Maryland St, Ste B03A",u'free',None,True,2,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",HCbJPXWXvwN-C7XfmVy3gA,46204,258
Lebanon,The Cobblestone Eatery and Drinkery,38.6041071,-89.8085329,3.5,IL,115 W St Louis St,u'free',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",zjQDk4tZyhEroyqtkgvx0g,62254,52
Bryn Mawr,Kelly's Taproom,40.024588,-75.3242387,3,PA,1107 Lancaster Ave,u'free',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",jsQQu9rVerR3OGxIa0hRQQ,19010,63
Jennings,White Castle,38.7061191433,-90.2701565031,2,MO,5231 Jennings Station Rd,NA,True,NA,NA,NA,aSJdDcspNCf-2oNF2E6SJQ,63136,6
Nashville,Edgehill Cafe,36.1429685,-86.7923549,3.5,TN,1201 Villa Pl,'free',False,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",dD2p903p8lU0IgXT3OFluA,37212,245
Newtown,Saladworks,40.2340046,-74.9414872286,3,PA,2804 S Eagle Rd,u'no',True,True,2,"{'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}",yQhu3LbnB2gQgrquHZ_S6Q,18940,42
Boise,Capitol Cellars,43.6135729,-116.1999038,4,ID,110 S 5th St,u'free',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",4FaYG9qKDpDyr68bKmaIEw,83702,176
Philadelphia,Morton's The Steakhouse,39.949603,-75.1649701595,3.5,PA,1411 Walnut St,u'no',False,True,4,None,pP4q0Mym-qt20nRqTKbzhQ,19102,149
Reno,Brew House Pub & Grill,39.4772227,-119.7930507,3,NV,6395 S McCarran Blvd,u'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",VS4iEul7Rp4jJGcNcKu4FA,89509,6
Indianapolis,Another Broken Egg Cafe,39.904151,-86.083809,4,IN,"5025 E 82nd St, Ste 2500",NA,True,True,2,"{u'valet': False, u'garage': None, u'street': None, u'lot': None, u'validated': False}",Iuir7lUtx-LMhYtStwyf3Q,46250,26
New Orleans,Stokehold Restaurant,29.9170045,-90.0982621,4.5,LA,4124 Tchoupitoulas St,'free',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",nePPSHdai8L7aWmXwOZHEg,70115,13
Nashville,M.L.Rose Craft Beer & Burgers - Melrose,36.1226231735,-86.7761365195,3.5,TN,"2535 8th Ave S, Ste 107",u'free',False,True,2,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",I2CxrvM0BGH1svfxqGGD2g,37204,472
Tucson,Rockabilly Grill,32.2739894,-110.9775344,3.5,AZ,3700 N Oracle Rd,'free',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",3swM60bulnut1d4AZti80Q,85705,37
Saint Louis,Caleco's Bar & Grill,38.62644,-90.1897829,3,MO,101 N Broadway,'free',False,True,2,"{'garage': None, 'street': True, 'validated': False, 'lot': True, 'valet': False}",SSZDGl2J-CEyIzuIbEiYNQ,63102,532
Holiday,Smokin' Out,28.20766,-82.740475,4.5,FL,3333 US Hwy 19,'no',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",CjkxTRergWcYWb4SVW3gxw,34691,88
Philadelphia,The Lunar Inn,39.9822933,-75.1031599,4.5,PA,3124 Richmond St,u'free',False,NA,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",BxR5hjyBnJZrm_nnaCtGQw,19134,29
Bensalem,Texas Roadhouse,40.09165,-74.93997,4,PA,1545 Street Rd,u'no',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",T9n_LqUUhC2b1ALhg57Y5Q,19020,240
Lutz,Beef 'O' Brady's,28.140648,-82.461204,3,FL,18421 N US Hwy 41,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Ea2hPSFazxXITET4f6ZJhw,33549,46
Tucson,Roadrunner Coffee Co.,32.2865595,-110.9982234,4,AZ,1545 W Wetmore Rd,u'free',NA,NA,NA,NA,C3roKH0ekXBz8l0ZoUIvAA,85705,9
Edmonton,Moxie's Grill & Bar,53.5978212,-113.5706935,3.5,AB,13551 St Albert Trail,'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",_v8Ccd70N6uXw8muQeyhOA,T5L 5E7,52
New Orleans,The Howlin' Wolf,29.9426876,-90.065991,3.5,LA,907 S Peters St,u'free',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",5wgoIQXyP3BEPZLiVi1W8A,70130,213
St Charles,Ham's Deli,38.7813826352,-90.4813783106,4,MO,105 N Main St,NA,True,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",KDIkj7rASjiE1xUnyXALnQ,63301,12
Verdi,Big Horn Grill,39.5134958106,-119.9682300023,4,NV,8650 Boomtown Garson Rd,NA,NA,True,NA,NA,YdwLZnSDkX0Sk6iXL357kQ,89439,8
Tucson,Whataburger,32.2979232056,-110.9969272166,2.5,AZ,1430 W River Rd,'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",IXv-g1iK3Hwsnxp0vT8OgA,85704,71
Dunedin,Wheel Cafe,28.019385,-82.7742533,4.5,FL,1140 Main St,u'free',False,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",5QCLmv-JrdY0ZGc_D5__iw,34698,68
New Orleans,Port St Peter,29.958496,-90.0652404,3.5,LA,727 St Peter St,u'no',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",G9JqaURDTC_pSzji0bytwA,70116,83
Carpinteria,The Beach Grill at Padaro,34.4068624,-119.5485504,4,CA,3765 Santa Claus Ln,NA,True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",kHOXo-IZSpixpctmHsGlyA,93013,16
Nashville,Farmer's Market Deli & Grill,36.169445,-86.78794,3.5,TN,900 Rosa L Parks Blvd,u'free',None,True,1,NA,7CBsFEzEny_Ro833RS6Acg,37243,9
Indianapolis,Jimmy B's Eatery & Pub,39.9411009,-86.1463788,4,IN,"10598 N College Ave, Ste 400",'free',False,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",vQ3bOb_sq0peWxJx3VoCDw,46280,42
Arnold,Cafe Arnold Neighborhood Grill,38.4060687852,-90.3770434828,2.5,MO,3946 Jeffco Blvd,u'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Up2hJViJJf61k9V3jFbvzg,63010,9
Port Richey,Golden Corral Buffet & Grill,28.287119,-82.712339,3,FL,8928 US Hwy 19,'no',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",vVvtWcFResspvcMMNRbYWA,34668,50
East Norriton,Steppy's Sports Bar & Grill,40.1455977,-75.3182664,3,PA,2912 Swede Rd,'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",E9-k8aOCS2sSh9RYxvWU_A,19401,69
Madison,Wingstop,36.2649788207,-86.712538285,2.5,TN,127 Gallatin Pike N,u'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",AuTmUY381to83xPwovoERg,37115,31
Fairview Heights,Cheddar's Scratch Kitchen,38.5965175492,-89.9841942417,2.5,IL,6600 N Illinois St,u'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",IS0B5nLJPluVT8NwGgospA,62208,187
Tucson,Famous Sam's Restaurant & Bar,32.2441089,-110.9083781,2,AZ,3933 E Pima St,u'free',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",5N5K-B0pA3as6dvl_ha5BQ,85712,25
Jenkintown,West Ave Grille Jenkintown Restaurant and Food Truck ,40.0957738,-75.1265509,4,PA,718 West Ave,u'free',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",dERS4qwl9v-Gwft-Ug8APA,19046,277
Tampa,EATS! American Grill,27.902583,-82.505631,4,FL,4502 S Dale Mabry Hwy,'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",VZfc50XVwgdCecH4YbGNFg,33611,323
Philadelphia,Southgate,39.9455687,-75.1717901,4,PA,1801 Lombard St,u'no',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",68ThEdiK0eWCEgGEmV9Tng,19146,323
Nashville,Captain D's,36.16937,-86.67255,3.5,TN,2633 Lebanon Pike,u'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",J7Oo9rhwX7O3ak54pu_Mhg,37214,14
Phoenixville,Epicurean Restaurant & Bar,40.1298035688,-75.5433654785,3,PA,902 Village at Eland,NA,False,True,3,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",YKdlu7svUINmXIoVsDJiFA,19460,19
Indianapolis,Ob's Pizza Pub & Eatery,39.797385,-85.9921824,3.5,IN,2102 N Mitthoeffer Rd,NA,False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",5PDNXMquh1C9E089G1RY2g,46229,10
Springfield,Captain D's,36.4922337558,-86.875317026,2,TN,2123 Memorial Blvd,u'no',True,True,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",3GGGwkQ8A0ICQTfwTKPiQw,37172,10
Fairless Hills,Old Country Buffet,40.1880129,-74.8662818,2.5,PA,650 Commerce Blvd,u'no',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",PaOJy2n3oRBpIigV6TMxlg,19030,27
Tampa,Twistee Treat - New Tampa,28.1440679511,-82.3539949058,3.5,FL,8810 New Tampa Blvd,'no',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",TTsBa6e2qgIEkiFQfYLmYA,33647,70
Seminole,Suzie Q's Diner,27.8555338,-82.7877341,4,FL,9124 Seminole Blvd,u'no',True,False,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",3raJa_XvtP3biGDw1gFJ5Q,33772,26
Woodlyn,Abner's Pizza & Grill,39.8751524,-75.3436091,1.5,PA,200 Fairview Rd,NA,NA,False,1,NA,-97632CUoOkJ8x4AlkPJxQ,19094,5
Jenkintown,Sam's Grill,40.0901014,-75.1266017,3.5,PA,"93 York Rd, Suite 2",NA,False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",xtSxYDKUmbhRx93CXoG2cA,19046,6
Lahaska,Surf and Turf Kitchen,40.3475889,-75.0298548,3.5,PA,"2400 Street Rd, Ste 69",NA,True,False,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",T57pARC36apZzr3CSCs4-w,18938,25
Woolwich Twp,Rode's Fireside Restaurant & Tavern,39.7532524,-75.3024859,3.5,NJ,533 Kings Hwy,'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2y_CdkxEOJEJGyJApfCYpA,08085,104
Marana,Freddy's Frozen Custard & Steakburgers,32.3232068,-111.0442513,3.5,AZ,3725 W Orange Grove Rd,u'no',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",m6KZGTxRb9_ZyDpB1G6O1Q,85741,112
Sparks,Bully's Sports Bar & Grill,39.640527,-119.71245,2.5,NV,9725 Pyramid Hwy,'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Ktw3a8hXOKL00UCk_1nSEQ,89441,126
Carpinteria,Tony's Restaurant,34.396988,-119.5210305,3,CA,699 Linden Ave,u'no',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",uFF40n9pOqHK1ciajdoSEw,93013,72
Indianapolis,Primanti Bros - Indianapolis,39.7655226364,-86.1597495695,3.5,IN,49 W Maryland St,'free',True,True,2,"{'garage': True, 'street': None, 'validated': False, 'lot': False, 'valet': False}",78e90HO_R40SyzBr4fnHSA,46204,221
Dunedin,D-Town Bar & Grill,28.0192509782,-82.774851719,3,FL,1056 Main St,'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",nIE7ph1w_bttQMJQx5hUEQ,34698,91
Fenton,McAlister's Deli,38.5033740941,-90.4449900528,3.5,MO,"170 Gravois Bluffs Circle Dr, Ste G",u'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",yjYNk2K77o34anIhS4zJyg,63026,46
Philadelphia,Saladworks,39.9557501,-75.1819889,3.5,PA,"2955 Market St, Ste 221",'no',True,True,1,NA,KAZ2Z3831eb5lHtUDKa8kA,19104,8
Hermitage,Greek Sotir Grill,36.2166079,-86.5963643,3.5,TN,4630 Lebanon Pike,NA,True,True,1,NA,-2Axhv9AZ_n7qjQefECpVw,37076,21
Indianapolis,Blueberry Hill Pancake House,39.7723413,-86.0279803,3.5,IN,7803 E Washington St,u'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",F_wIC6i5y4zdQyp99R7PdQ,46219,101
Harleysville,Mainland Grille,40.2482605,-75.3609391,3.5,PA,2250 Rittenhouse Rd,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",1sXN7Oxteo5dP5nwIDyO4w,19438,27
New Orleans,District Donuts Sliders Brew,29.9294259,-90.0770687,4.5,LA,2209 Magazine St,u'free',True,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",8uF-bhJFgT4Tn6DTb27viA,70130,2062
Edmonton,Faculty Club,53.5300382,-113.5283787,4,AB,11435 Saskatchewan Drive,u'free',False,True,2,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",151ujtgcbkGzAHUnctSg4w,T6G 2G9,13
Metairie,JB's Bar & Grill,29.9878551,-90.1300121,3.5,LA,115 Focis St,NA,False,True,1,"{u'valet': False, u'garage': None, u'street': None, u'lot': False, u'validated': None}",5XSJImk924zdVk16cw8Jgg,70005,7
Tampa,Season's Fresh,28.0812683681,-82.4279611613,4.5,FL,2816 E Bearss Ave,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",mKZEuPNLVe4yRL0UfxFPTg,33613,104
Tampa,Thai 5 Fast Food,27.9120596,-82.5057677,4,FL,3424 S Dale Mabry Hwy,u'free',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",AODksDNj5mH953cyhUG1Qw,33629,336
Carmel,The Pint Room,39.9785056799,-86.1286025097,4,IN,110 W Main St,'free',True,True,2,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",tFpstYqxugKHzeyNUsuD_A,46032,423
Gallatin,Top Hog,36.398778,-86.451974,4.5,TN,642 Blythe St,'no',False,True,1,"{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}",qONvIS94nZhXYm-jccXyuw,37066,140
Port Richey,Steak ’n Shake,28.2899929559,-82.711233436,2.5,FL,9116 US Highway 19 N,u'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",sVWUxesVKseXGq78UwwajA,34668,45
Philadelphia,The Blarney Stone,39.9548253,-75.2009783,3.5,PA,3929 Sansom St,u'no',True,True,1,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",mpVZG520RL-K1YeQi55ZPg,19104,46
Fishers,Parks Place Pub,39.9571476,-86.0180566,4,IN,"8594 E 116th, Ste 70",NA,False,True,2,"{u'valet': False, u'garage': True, u'street': True, u'lot': None, u'validated': False}",OAkcBAwedonnwT3Wf_DqTw,46038,52
Old Hickory,Flat Tire Diner,36.202711,-86.621012,4.5,TN,4700 Old Hickory Blvd,NA,False,NA,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",yH0ON2BtV52JXxWdZy7Psg,37138,71
Haddonfield,Denim byob,39.896842,-75.033414,4.5,NJ,116 King's Hwy E,u'free',True,True,2,"{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}",tiEkH6TbOQMZHRo46rmdTA,08033,149
Metairie,Red Lobster,30.0074264,-90.155475,2.5,LA,3020 N Causeway Blvd,u'free',True,True,2,"{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}",OyHbS1sJ4CguExlWa-XWDg,70002,122
Tampa,Stefano Greek Italian Restaurant,28.0280199569,-82.393829897,4,FL,8600 N 56th St,'no',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",o6jfwLREaGy1mwAEybjOkg,33617,106
Saint Louis,Murphy's Bar & Grill,38.6819249293,-90.4754887041,4,MO,1229 Castillons Arcade Plz,u'no',False,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",k8cv3Hnu69lGuf0mo1MOTQ,63146,12
Oldsmar,First Watch,28.0449208,-82.68053,4,FL,3691 Tampa Rd,u'free',True,True,2,"{u'valet': False, u'garage': False, u'street': None, u'lot': None, u'validated': False}",zBHAoHU-SD7wECkKpTGImg,34677,93
Saint Louis,Alexander's Restaurant & Lounge,38.6470378,-90.3364028,2.5,MO,7730 Bonhomme Ave,NA,False,NA,NA,NA,vySR6o-5WaiIrQHeRCnhvQ,63105,7
Reno,The Casino Grill,39.5267893,-119.8125674,4,NV,38 E 2nd St,NA,False,False,1,"{'garage': True, 'street': None, 'validated': None, 'lot': None, 'valet': False}",qq4Zc5y76vfCxQQy4CLfrA,89501,38
Bryn Mawr,Gullifty's Restaurant,40.025857,-75.325628,3,PA,1149 W Lancaster Ave,u'free',True,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2rQFgavS-942RapZTBSBTw,19010,270
Tampa,Ranch House Restaurant,27.9962535,-82.5670403,3.5,FL,7706 W Hillsborough Ave,u'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",s4VzQaUCrgwPuViQYOqC2w,33615,39
Kenner,The Big Cheezy,30.0154233,-90.2392351,4,LA,3232 Williams Blvd,'free',True,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",xkYOPbA8AL4jcQIN3xveoQ,70065,154
Philadelphia,Grain Exchange,40.059508,-75.190838,3.5,PA,7152 Germantown Ave,u'no',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",PxEiXqMAzzvp8GFlb5EoLg,19119,239
