business_id,checkin_count
PI7Qd_U8T-rSCfWmKvIZ5Q,183
0AfjyySl4Rivh-QhWfrClA,107
0B4YRxRp3Ra1lZcWrrccvg,149
0CPhgQAtXvxsmyFNJah16w,121
0CeDwvLyRVgr-fq-DHk1sQ,72
0DBf72U_oR_iDDXdOx4a4g,54
0Jw_Q5vH6phmYxesX9jRUA,14
0KTwW1eC1YAjR-zDr8w4jA,684
0KwD4kiiIPoTOrHXVxwTyA,21
0Rej3u5aapVIz8CuAQQm2g,34
0RLHBKEktSRh9bAwQWn5Dg,5
0Rbsqa9EYnfi6ov9sd0xyg,1
0RuPe8nq81po3W9C8QLE5w,9
0S5nk5wxqUoXNGZ0_DryXw,93
0_HiJ6abvZsHBx_WnazXPg,3
0_Q7obxRK_I--9wnDx2iEQ,25
0cerofLgpq9P6TtuHFTUyA,4
0clSkDomWd7MDqqgCCg8-Q,428
0d1dpaZqcm7litFOJl7atA,1440
0du-PwMeyRIOrW3MKVeHiQ,6
0dEqaFg1zj0rpH7t8WQHHQ,4
0dfspevYKsugYiU1UVl94Q,7
0eH2qVerYikZ5RW7f-5UxA,64
0nXCsZgPnQq-nkU1p1MkEw,14
0nlGy4Q5La_hWomqRIskxw,47
0o5oz5EKbrx2xiS752weVQ,263
0oSSjekU-3GR8gselReWnA,1349
0oX6TJp-yldw9ZNl0ACd8A,77
0uWnByfZNCs0MU1Ag10ujw,15
0vI6ceUOgRhLCkGrSryYFQ,502
0w5CGasMnBI0R9tW7xxhAw,978
0zm9uI875WIPX99D7xmIKA,38
4CmLe8tGT5fIYHOaAsb3-g,765
1-D_z1Z3P2xWXO1g49eRbg,41
13RE3PJCdPhWy3ij1RW3Tg,1170
13l05k8AeGBJOIp5H4wlIA,74
13oEDtCHrOvbhsHzno2Vvw,402
1B59ZyvK_n4E1egxquDO1Q,34
1BBZCXNSbErAnJcZc_LLQA,14
1CN4v89u5f83ToK1u77Txw,158
4Co0fjkcBvNpUY1z-tg67g,5
GJXGdJlCroyRTmCxsz3i6Q,484
1IIht_H_qWSTG-kMSvKS6A,16
1KpNlu8VM8ukw3uOzmMFPA,1042
1L0ezCVGAFXSo5zMRUJe5g,52
1LEkH6fV3Oa-4xYShrPE0g,374
1LGyVebO0VzuaMiFjpH3bg,79
1M6nUmeiYpOhuqIzq1JzVQ,40
1MDbfMLDJmapYF8xALXIxQ,15
1U7HlOogq3j16jdNWZXljg,115
1UHIvB6uisSkKcXatUft1w,57
1UHjA5mo1UI2TmImfdYXKw,232
1Uj_Ob1C2z5Ykx-WHorjWQ,9
1VHsBGgnioHuFYINzeplPA,35
1VK4DvxSpVcQqUizv33mcw,139
1aBpxVwnD9CkKRSwh5tACg,176
1aR_kqb9d8jmRWCwXqoJJQ,74
1aps22WlhV4bHPaEQZxkKQ,44
1bosKG476JOb-l58MXrEhg,18
1gCKY-dGAFKvZVTkKmjNXg,162
1gcxlzxJH3ibkI_YJzVBPQ,73
1j7Y1eek07NRv_SkBOJFgA,18
1kVnChI4aqsPw9i2PVqkkw,646
1u2IlvwOMndfuRk9EVcieQ,689
1ua0o00zt9UD1kj8gcdpTQ,142
1vFmuDyTsHMeURRrkLOk5w,34
1vPSY4EA-fTRIZYz1Ruzow,437
20-EyTyDc2-a30iDAQj64g,997
20GFm7U-Pm1RGGo7If_OHg,15
2BGuDmJrn9NLrmhFwYMaPQ,230
2Gik-IBYVBuU3e10pVdkhw,357
2KhwR5XB2u88e3AgH4mq5w,14
2KnB5sR6QmD8YRcEGsa8ow,13
2LK3DWkmzZRVK6M2YnWECw,20
2OXCAbz3x_MrQSYj1zarIA,2925
2OcYrGeyIhR_ODtl1xVf-Q,43
2PNUOv2sgxgXCV7a8f99zA,616
2PlhAoV-zXw2SUaWzkw-Ng,46
2b6BvccVTtPwElQreRtFYw,386
2bXm0SynOfxDzfrdrCyXqg,391
2g77SuzGRPVuxxEgs1eF8g,50
2gJbhlQm9w3f9Z308ifeHw,75
2iCZNSHDGBxs_fMzb9aYjA,81
2iwWAydlMQAEeDob2z9ohw,21
2jFOIBICinZkepcO60rN0Q,16
2mLIChoI05JUG_vSDygwag,6
2nH9VeSImqQK_MHWBqYEQA,41
2rXnfNMiALPvJZtYkM2OAA,263
2s8ZpU11kCD9O6bY-NAaTw,10
2sp5J1TTPz9KNHmoXzEUAg,21
2svamm662lvkvN2K4xSPRA,60
2sxydsoJhSPTsfcF0wIVqg,78
2tg6sMQr9rrXVXmgrqBYmg,213
2vsVQUohcr-qv0UfWVqrNw,80
2vuda332ZYtVtKAyMvAcew,4
2wMzU1u2dB7hCfsbuYukog,34
2wNP24ZJSOOXOifLDEbsgg,74
MC2qtLks1oVtzUcxemqCjA,5
327NPBjIZtHbjerYbbau_Q,62
33l2XVp01d8kltTs_UMJ8A,174
34RXMYBw5jx_eGVlotlkrA,42
34rHbW2ohZUYHrhFJx-RHw,149
38PnbJvCrsJYvEzzb4ytfQ,83
38nwm38VsT5ABneQE-elxg,54
3BhUBNiHrLYO48n7PYlepw,7
3C9l3PNoadQ9U2JEb-Qtpg,176
3CFIqnjp0spaQzLfJfA-6Q,22
3GZ93AuxWsKwhhHEeTSfPw,137
3GcXSZQ65Np5N1N4a-DK_w,206
3Hfkqzbcg4UHEjENm-3wWw,4
3Hkfuk0g1A13qmLZbtWrTA,442
3KY7zHsRdaVeVKyTzP_I-Q,61
3KYD10PwNu_gvtcWXWkZNA,450
3NmMVlz6sFsBJsVaPtm12A,82
3O44PGRDlIxmikUL_J5Vww,129
3SHw4aZW_muE1kRSLQQjjA,216
3SM8uaMuDqojb9gnrBoBAQ,362
3SsKfATOn7ABb5E5jKX4Iw,38
3StCmEw7AhBdHKIEkckGeA,26
3TDyV2_iO9UhQ2NDigbQmA,650
3_sunYhg-5DBTinDeRq8uw,94
3cyjdxvskRcADylzLI32cQ,231
3gXgILE2YWVidJDvVWBT6Q,245
3g_uw-tEbbTrsPBg1jWIDA,63
3gqB-N60ePaggR3JzkRgEg,8
3hBqriucQRr1-GvqUKvXSQ,140
3iUCCf1FWmjlFbGYvBgf9w,2464
3oPF146et-MbsPADAHkXYg,210
3pX1xcKcin65_-LdZu-kkA,6
3pbc89Mbi-L7HjuAw-DQfw,2
3u1cP7H4g325tkhNE4ncbA,26
3u4tRuGoPfAAw36b_yO-4Q,248
3uFbY8sz2hRj-uOgXOfBww,42
3vJOrpZxF2ctaM4hhpuu9A,8
3uzC5nseHmKZoFvDH-uRLA,310
40ovn6SAc5c7v84bRzpB2Q,562
46_2e1hnQ4csLrYnhn6bkw,243
46hvuOc2QONc4Boj56Yy0Q,8
47OfnYwhB3NTM8Tx_sNnbw,215
4ABQAbdbd7jx5ZEhLFn2HQ,231
4ADeBcc3O4zmTrp60H4O_A,864
4A_1kNLFVYmQ-zfz93huBg,268
4BHNkGzJ_Q1KqprCEY3DEg,14
4C8l_E3E3bv3napG0PDooA,25
4HE6POeYQtB_k6ziyRoqlg,440
4Hyfm0Ly3yo96RJTVShTIA,464
4IIAxlEz4HLZbAH6DzFnQw,169
4KV4bDVKzUCLrnIHgJKfNg,16
4PV4-NcNnJPlQfKLAW9o6Q,49
4PyqPHAiFopyZZlLcLQuVg,33
4Q-NBFLKZij0_B6wuvbgbg,148
4QeHIdYwzBIB2HS_MB60iA,39
4R2KR_-FybS7oegGrXjHVg,1587
4RH0A9i8L_Ak5JzxLRzykg,287
4Vn3QrrIAWoH4fL5s6kqdA,392
4VyNWp0bMaD_i_QdKQH0fg,615
4W0DalIOGKQKcxGfTe8Gbw,85
4WAgExw8IOQ_mcN1DUy4Iw,13
4WdDY97x4GdMYtyk1KQMnw,1863
4e7imilW2nzFkgNjqq0aNQ,3
4fKGv-3XMlxv_vuiFbuwLA,66
4fSx_kno0HeGHwkFwO6TPQ,111
4fdxbcCfEIwRbfvbM5R4TQ,63
4fraeoyJ94XIAlVnXNn-Fg,143
4gO9aOoORI678TM9bagX9g,149
4gWbdB4MYbvG9TQyKZ4OAw,262
4gaTCKPPSooQ7OKHkhZwiQ,13
4gszBjoouIzfi1ltSQZ2BQ,3126
4gu54H6G9ny5v0DAYShKjg,226
4gz6JurOLglDSf5pH4z1kw,126
4h4Uskb7B8OTI7oDR7wImQ,90
4h5-Tyev0jX1GsuzUo_rYw,113
4h6Fhm5g9mlNBN6nBLwWSA,85
4pPtSIMVH9r5aLHQ0HKSDw,31
4rQY-6rTKcWYygqsjrp-CA,4
4tpBd0o50m07JUSRYJkMvQ,145
4wdZ1PmysPd8CSe0-omVbg,6
4wtnllSQsAr-JVJW0N7BTQ,27
4wvKerRd-Y88IX6E5lCArQ,449
4xBkP-W_WaOzBiP8yD7yvg,150
4xV3C_5VXQzAAYGIwJ_4dg,38
4x_DhrjTcrpieMkbrrCU-g,172
4xsJN2FuB94w9rMoMo6XFQ,365
521oSsgv4JEtgvmoZftbxw,115
52wBQghQ0jwzSuvLvwe5rA,67
53EqdYDTWY2Ee2G2CGuYfg,102
55D--p5wnvr0gYyRI_y_mw,367
55GmNphU0DhtkvG5lSZ49w,289
5E49HDnDjgEXeWP-8GKPZQ,30
-2-ih3mE8KPyeKVIzpBfPQ,175
-2Axhv9AZ_n7qjQefECpVw,12
QPB8DUE_jAhgx1atM7sKBg,908
-2ke_JDOpgTZWqirMFjZcw,61
-2vEnMoexef2-rWy-FMWvw,54
-3IOd5YntpkbK6RwT3HYtA,120
Qh-vuXF2kEVvj1ReRP_ztA,1054
-7AGjO0qnOld_GZK9dNNkQ,248
-7CqBmK0zxwyjEqa3LBVSw,92
-9Kxik9BRNkft5rPcVvSsw,284
-81BXpO5Fuk-RqCabS7LMw,390
-9QWlFM3KH0DBS1wiHZJXA,18
-DHwIpXvOsJFqYuo585eOg,364
-D_L4GHXJQvy2wv0RkrupA,25
-FXxCFnPPya9o5_8wAVSGQ,36
-J0tPzkwPnyulSBE_s863Q,175
-JAwNIEJoDXmdE_8sS_BJQ,360
-K0LoSCfh8i5U_y53Krepg,4955
-JkiE867GwCUuXFETjba2w,184
-KJuzqptSAbZtTRgcyFduQ,354
-TjT3y-Glfnbt6LbKETAYg,980
-TzFN6nWvbVRARY2B11Epg,364
-U1xpWbkKmTQ3YCElPSW6A,28
-UPvmVCG5WQfLIA-p7KI2A,22
-Yy3mwrGPJ7GOUwZc7WU_g,31
1Pu4ODYV5j2-A4eD-eIhUA,6
-YTipfQ0Yj0iF7m921rhmQ,5
-_jxFZVaC3r1TppArnlxZQ,175
-b3VxSmRw1Qot8dtDLdluQ,162
-bOcJEs8imqtSXwG644k1g,384
-bR_RgtKytmFOHGPVUBcWg,832
-fEZQoE-pdN_uvXdr3WR_g,283
-fSp2tpieaiHOtBt7SXP9Q,24
-fjIX9bvBKwXjQWfdgiWpQ,21
-gBEVHYMm2aRln67JMEufg,76
-gx2zqPkSs-7aGZ01bDb7A,483
-hVMfjPPEsSnga_gnYJx2w,599
-h_CLzSZJGmSHBNk2LXShw,20
-hmKv6MRLgpbUJqGjyY5xA,15
-hsR1sWeD9Vw_nh5Qym2fg,373
-i0FqsGq2B-3FR-p68JfDw,158
-i9AaoasqTUb7WmCSftmKQ,160
-nk14DuVMog4IeCPNF1JpA,44
-ojG1NfFYuHN_oGsGK1W8Q,13
-ovvV-tXLQdXyYgdCBZm7Q,59
-pR5HJvIylQU1YqAf4nQcA,5
-pqNA1evZnP_4eTlAOJj0g,84
-q4YqKsWJY6NtkQdnNeL1Q,401
-qEk9byAfXQvKNVK1tCitw,46
-qP1L9kx0FoH-kFwHXEwbw,8
-qk__vjJxfJrCWn3UaMv_Q,1392
-qtgI1xDDSqxtTtPn3ERHw,495
-rDN9oCIZmmL6nM_NTDQ8w,318
-wpjPXundFyZCm9khW2wLg,124
-x7YizC9UmmjMuSGxrw1LA,53
-xUN3uoiStSO629KcFDLVA,192
-zbTnIz1zPNPmKpO0bmEvw,276
0-9PkkpEM53bTgUQo-ls9g,355
0-BLZd37lMUODMuYAtKgkA,138
0-ViWW1_-_TKIf-o8o8bPw,65
0-XYsSxJhu8ayKx1f3v_tA,37
02PoEXj8TR7FQZvUV48o8w,26
033Ok264muClFlaWFeqo9g,69
036_95rJbB7PvCHfkCL6Nw,404
05J_7mQg7dPuaSB_BBYEOQ,55
05aUWoz7IpdMnViLQWE-bQ,74
05tQr30d0SSHrahA4gV6Pw,3
063-mwbEdc9J4h4QqEdpvg,118
06Fw40aGMI_sInznweYLow,72
06_ObrhBE8qd2puOu-lkiQ,392
06pNHtxgPhGhZpM0Z2uzNw,2364
070Sixz8aXNoSbH0-49PDA,149
07aiOK7W40KIAgEYeHES_Q,73
0GaTpDXVFTxJPQsdRLVidg,92
0GnmW0__mF3m7_KHRaYcAg,11
0GpoYiUGa1okXWdhEweDdw,61
0Hdvz0Ups_nN9kIb3uo4VA,132
0IKbUmLM8pWn9t-Epf19iQ,93
0IXwCbilY8prtBholmFkUw,24
0Ib_MPoFNwXnfKtNOjOx9A,605
0NZkEpA4VeOy7b56KYGx_Q,42
0OoRQ6jh6h6HAbmMB6o18w,4
0PN6PHCYD0UPFSmNI2NjNQ,89
0Q-E_trgdkgIPlYUf-n5OA,25
0QSxyOzXwDdaSbeK7p3GYw,612
0SfpdMhddPXRJgp3d3z3uQ,8
0U73_v6TeWCKdiVIXM5hcQ,156
0TZhSVLu-HSNSVSQANvx1Q,489
0U9lMTfd1wtf2fkLOTaPyw,13
0YqAViD6NPW4J6gpbCVAFQ,259
0aUi6gucHk4EJM5cTbJNVA,21
0aUlooXPSltR7-s7Wfsa6A,941
0b1Ujdimr2gdc9Ic4oIxuA,47
0bk28CEAtr-sQw-uq9umQg,153
0eOeiknYEwjFOywy9pe4RQ,466
0eQ89dmtqdPgLDD8jMUZ4A,12
0f69gYJBDkWpi-F9JlPSkA,263
0iwixPVSjrJeJSoUC8Lsnw,224
0jgDSv2SOvCiOuqShsNtlQ,165
0jQiSHnQTFyJnw1HHV9NVQ,181
0kEyHYpI6ixtq87LV6I1Aw,817
0kJN26EB8Pw2clkDqh5wsw,21
0kdx-VVbjY7Jvlvgs6nGUA,213
0qu0fNTOsSmuREYVIMPuIQ,1391
0rVp5KwX0knbSEgGHKug2Q,240
3wo9jODQnuvBm8Gkem6qXg,3110
0s-BXJhYQc_mLFjHD4Xbww,601
0wK7Jyq2hG0h25ZG1GVV9A,21
0wQCEcpZ57TmTm6EmEDsIw,1789
0wjMBvxWO1Khm17ZseSL5Q,8
0wsLnToWQYB71TyWE_zOHw,228
0yNUjszQ0kOphvZs_kvvqA,97
12SbnXfsthBbBaF2YzhLfA,318
12aD4pD1uCJYA4ivdAd3Ug,70
27zKMgNsoSrQ-lwlVh7Ozg,921
16cCF9_aaDxIa1hO3gybKw,203
16tjKOvMw_nOgNViq2LwOQ,2338
17MK8qagV374AuUA4sXuIA,977
1FCxJuEH_3tmxUDVPv1qfw,58
1FGqe-vExt8Q-JCvkJFOYw,146
1FURjeGJi_LBXcJQg8eskw,1605
4HcQ-qSDjt1tgo6ZIAuoCw,11
1Fh-XMNHnOcHpkX0r5Gpmw,115
1G2ioVP2reLd73NQroGONg,332
1GOEX3GFW7cfyOTCAgcxlg,11
1Gm0k-SzLB-jTZxVxuvcOg,286
1O0teX-jRsmxqDYmRNncSg,87
1OfhM-ZKvcpxyxptCCzEwA,1559
1OD5rInxeC8bM3d2N8-gcQ,155
1OgRJcJ2tsfkZn5tCjhNKg,39
1PYqegX1SruVbkCsRF-4lA,297
1PKvoJ-jtw1UcuzCVtoqiw,4
1PMiPHFajYC8cPs89TGwIg,1
1Q8k99ODLnp4ln8wX4bTxA,10
1QBbJ27hYLxAwo9zP8436Q,207
1RvuoAkB4vwa_s659zfU1w,48
1S5JNnoREqmcy90pZq_naw,281
1Vo4BLw75ntATAJHYsxO3g,1671
1WD1o4aH0BfcwSx3RzWC3A,124
1cYZIJM5P3yOsIjq8qxoSw,16
1dRE3PDej7wUQ-MAl0DwTQ,202
1hRWfuA-8THwYsDYgj-oIg,203
1i1A1gTrIyPdbxI_oYHOLg,16
1iUzYwhTMeNf6EkLpVNcVw,60
1ikDMnTH3DSeRtgBSceXpQ,594
1mZgdNp7LcdvPR2Kd12_Pg,40
1nZRJPd-ruBIL4T2sXhOEQ,117
1qKfDCXiT6ePS4O5VS_IHA,221
1qw5dIsQPNGLOwnuP7Wj1g,1145
4dquxeySXaPIUyf62uiBqA,10
1xX2h4XGcBH94s_GuxQ4Qg,133
1xr8ozuRX_QiVPHGikapjA,59
1yEGEkkEz-hY4ZZ68fgYuA,181
23nqw3NV4TZLA6wVCZlU5g,32
24-GR17kFltTGK_ePqPBkA,25
2781BMa4Bl3YFzsZodTcFg,45
27E7RwQPv8XFzzIXjwPJ1Q,153
27qCs77eAWujNUHGQ7zsCA,21
28E0s2MxO8j1JLoMjhn0AA,58
28RE5-9vhE6cPxldHVM_ug,72
29Mm3hQIzlqjHBvyMxA8rA,212
29YqJwOGEuAWqlHZxMc1OA,566
2EmAukTYm2mOBEIKEYBRNg,359
2FNL1n2LZHf8jAXwTDDNVw,78
2JBon9dZPJLF8oKkxH7KCQ,89
2KePuSxPpElWqKZLLoCqMQ,222
2QItilYbm8r3xpSUFv8_BQ,70
2R4IzhRPnR_cNKtgIfvymQ,141
2RESuerAAakw2qjiB_pPOw,39
2SDa9Vc7opPT1WicNIkVXw,34
2TK1p6uIO7dHDWOQeit0Fg,526
2TXZS-m-GCBbU_8mn1YX_g,29
2WHk2XcRYKmoYtgjJWkkWw,36
2YnQAJdeFrcgPa8MqIYcDg,683
2adQ5pgKc4vARMQv70C8rw,26
2Z5rz2PqzkNTkfLb44TUSA,167
2Z9Lm3yE4_h9n7xmMv3gkg,26
2Z_ieKzYIIxt6iB3lgPnJQ,4
2brttsiFBlW8070dsPzQDA,669
2dMyN3EaNe-aijFccFbYXg,103
2coic7DZlnlqVhblbEOpIA,272
2cpdYwMOeKQtiMDvm39nKg,128
2gSDnkxyr8zZ22qGHS8PwQ,27
2gTQ0X9iRTs5zIKs97IWOA,44
2hCIzMXhSbgObLS4al82rg,145
2hErWx-q_Ixx6zYgQMPw7g,162
2joz26si509_AqbE7PSPPw,20
2jq-tGIRKP2b1PAy84ZZXQ,9
2kibWJ1TXySaKhkQia23Qw,571
2l2znqydic45GQfgCblQLg,5
2l9yOJUnNFJvHlI65Sv84g,26
2qVZiMB22YPC2HCM62Gnbw,222
2qe2UXQF8THYSmUNmBtM6g,24
2r8K64zBf81zBanmxniMkQ,398
2rQFgavS-942RapZTBSBTw,647
2y_CdkxEOJEJGyJApfCYpA,110
2ykIi7hnAbg5ohYQ1kIRaw,13
2zSQu6_cLgWAVbZ2LbSLBA,500
35BqcHW2UfRIEw8tKpwWFA,6
35MHYWHCaM3GbBc_xBGmjA,115
35dR5fbKRUTQ0gQRFG6Dqw,1
35jNPbB_-8oh-LHb9GEIQg,160
3663TH289j1Xh_lDmDM--Q,121
37BpNvlEAT6WVGsksrHbBQ,927
3FKIev7ZB_KE6XHL9sUJCg,1481
3Fysebw0WTZzIkbgH9BxNQ,72
3GGGwkQ8A0ICQTfwTKPiQw,6
3LrDBhnsP4vj-Hsv7zYymA,78
3MIsXwx5zVmlwzRx9UnuFQ,124
3OniQMJgbx3BVWkJ6e-scA,7
3P-Ytd1kmiuOgEiH_60i3A,19
3P3Hw_Dm_f0-R32E0doMPA,439
3PcXfIzXpFcSTnIb6L0DlA,21
3Pln4LmZY8LvNDhuJS5g_A,36
3VKYbajPpszKNFv32ey2dA,59
3VsZbbTBMgQZslT_tMTDbA,35
3YBUj9va9KbN1kkNcDQPug,382
3YqUe2FTCQr0pPVK8oCv6Q,4476
3Z9wZypDOTeHH6P4PmIXUA,2
3Zj9V-Tdg461Qfl2ZPa4Dg,466
3kCdCzbfMbpTStmrUbpfUQ,362
3kEugtj3tua-yxAZ7yI4XQ,137
3kNwvKixMwe44dWvQd5PAQ,4
3kRWkLMoDU2sWe9o0g7cvA,14
3kc7vVRl845AknJtUqGRAg,194
3kyxNWApJTK2AfL6IhFjFw,58
3nbKaf5L0_YVAAqG1M7gEg,16
3npVYXZ6w1nUDL3Mi9UQpA,45
3nsFc0a6_-508InEyJbfaQ,9
3qiHeiMr-6D1Yp-DbOeJhA,96
3raJa_XvtP3biGDw1gFJ5Q,31
3wgypcF1yQJSQYqgFkNLpQ,55
3xHkEBrXjrTrAY3vpxy23A,278
3yFcFud_1b6l8w1CNQfcew,4
3yJYL99Dmq0ofHkcqyPtjw,16
41dW3laDEV0boHre1utRgw,39
43AC2TqfcQcenT6srX5QCA,27
45ClmqPAagmNvdUojFULZA,677
49ES_VGv2UlXCFe2m466hQ,150
49PkbvCIuz_QQ0TN3ClGxw,59
49aGjLrNzXqEycPy86nb5Q,7
4JjrfHvcKzfra3YAWHa7qg,23
4F71OHF40sL1uYPuwKi32g,28
4FLz0ha5Gy4dKKl3UFVI6g,15
4FaYG9qKDpDyr68bKmaIEw,98
4FhRbipPKfjk9absHHrfaA,292
4IMSkfal96Ik5UmoAMohzw,237
4GldHei4idRj8YY4mRUTJg,9
4JQ0hePJAlBepDzb20_32g,123
4JV297fM7vuO-AYukVbqow,33
4Jl_5Zb0dUE8Jw2dSKZlRg,44
4KH6DlFi25Fx1-hlSF7ViA,467
4KJGnr4UB_0K4G4H6Y5YLQ,34
4KscCdMdkfSZZOn1qQOxzA,193
4LG0U_Gxc45-FanbjwoBvw,979
4Lh3RmIM3scml_9DOxY2Sw,680
4SyXyNuZ-pKKUPoAtlXuVA,202
4U0cvpHlcya4paLU2jJHJQ,336
4TDMSTCQuj8F0WjxJWOkGA,101
4T_zefcT0Fbz_9KvsLQc5Q,10
4TleqRlbwgXcIgz33HjLJQ,367
4TsGea1wyy71w-3Uh8G5mQ,4
4U8tToDb49xGDzWfn5TPaA,211
4UDm69SbXGjjlbVVy3GNcQ,277
4XJjKRpkqLlErQ6brEeKHA,225
4YuwWse2kGDy-zB8phvyiA,132
4aSj0fmfFT2iqxr4-AzalA,48
4abZAk9nWIHZIy4UA6HBcA,54
4afdiONEyoKoQlziM6HubA,37
4ajMQOHEfdHma8deYOXr1A,47
4bwNtLuiCFvrs_xGOJTsCw,197
4csoz78GQbCFvb8iAXxMaQ,96
4d8p7qsNfWOxUxmjNXR5YQ,399
4dTLWrSe0GN_GrMZ1uAZwA,603
4hFHwcU9qEh4-OVbYjpUMQ,85
4hQxm6xckt0EGqfAGzQDyg,632
4hR-l_arzAS3EU7SycoCDQ,9
4haxff8tRSzRau5ndCCjrQ,42
4hhC-WUKaI-g4QoZEK7yig,15
4hwmCBtmeMmB3UYeSewdPA,368
4iAVzKDdK2j7GJK6ZK6Gtg,472
4uVjS4Oa7zK7H-vvjZkl1g,296
4uZUHjSonatwt-02yqJp6w,444
4ulvTVp4_eXb3XVMrXfRyQ,31
4vLJd8N3wy_Q_wu_DZuRag,216
50w0JG2TggLBmVbS86aQWQ,22
50wISNEHAGNtLy6Qs7O3Ww,24
511GEfvioA8THVB2JNQ4oQ,105
51V09dHr3OBE_Bvbc_5ioQ,5
56hfC7cm2YEAbMeN0K41Yw,19
5AnaXoQK2ua0MxWKEb2FNw,200
5ByX8qgiVWi_KJO4MSYRVw,273
5CZT5u_nY4mmirQh5QLoEw,5
5EQ8WmyskZFjvrlaEbjMZw,254
5EpFbQKQEnTEPIdZkQDQiw,165
5GtZaOCAZejU_z_i2MfZxw,32
5HVT5RrlJGhvd_U7DbdXww,74
5HehleKDOZFEr8pcCG8ZBw,36
5K9oTIa83359gJKHyFPcJQ,903
5K_9ViMBVdlpV-jK4v_fLg,4
5KcHQxMSGV4lt3BY7ynwNA,160
-1wnOZFsvsJPEXh_hWcmMA,3
-ad35BhAZvtgrccfWI2kuQ,363
-4E0hSCldRJZLI-1cT38Sw,63
-4IoP43clvfZPjRlXu2LLA,45
-4x3pVUUsfWmKEilWKsOZQ,91
-A10ZTqT4X49cneKlxXTcw,1459
-B6XL-ZWsVHlAQyYcd3eEg,452
-B7E8MFb47FoGcp25lXgxw,756
-BPvsLwU9XqGRD275rEpsw,37
-BdYhP-12elmFV7oB1iv4A,25
-HPx2qKK5EDSltrtd1s2rg,75
-HSWvV_IvXtMFzApwjF6YQ,282
-HbvKXJ7yMsOefB6SHd3KA,124
-HcABf2Y81fglisWWXPYdQ,273
4dlSOdSHVFhj9QGTjoPIbg,1
-I6kYJze5to1AISg9i30-w,113
-IEIG_vEijEESseR_XCZvQ,3
-KgOEg5ptVVJBSvhHXXkBw,56
0171xkyBr0rxKRGVIBGmeQ,9
-Ll6x0_5Fr_bA72f7u4ngg,3
-M9uwwh6jHbzjHOm2N5fHg,11
-MRgqfCoHgUNdvszLRgDcw,199
-MXWHvyw73IDWzIrpGqkpA,3
-MqloFCBP89OWko_A6i1_A,16
-P7CxFXqAyZ7_ep4r4W-Zg,483
-SguV7aNlTXbsdkyJI4baw,313
-PTWFicakClBDK-zyQ5hjA,155
-QRcr42MLqbSbAzXstD_WQ,2
-R9t30RvsG-Rtiq63yuEmg,94
-RCy49doG-2XARGzr9Do5Q,135
-RIsIJJw3cx98ba8BiWI6Q,124
-dVBeSZxtxpHQ3XdL4E4bQ,286
-dwqsjGDBnzzv2qQYyIC3g,208
-e1BUAOBk9RAu89c6uTyGA,1572
-kHHi8y4kaTI6WUVdJSdvQ,1584
-kRlJ5_TxIeHoqNSMNBlEg,142
-kVGt2QRNtBoZMvKeIjVug,49
-l-FYsn2mCCDKTTS-uqssA,84
-lX4ufgPLYubI8rVxNM31w,1395
-lXN3XDAVrqHVs7MA2GJew,8
-tRhEoFo5viTTPX316ut6w,274
-v23pO9PUja15AiuUOW6tg,256
